Gene Symbol	SKOV_KO
OR5AC4P	0
POU5F1P7	0
OR5H1	0
LOC105373996	0
OR5H14	0
UBE2V2P4	0
OR5H15	0
LOC105373998	0
LOC105373997	0
OR5H5P	0
OR5H3P	0
OR5H4P	0
LOC101929320	0
OR5H7P	0
LOC105373999	0
OR5H6	0
LOC107984938	4
OR5H2	0
OR5H8	0
OR5K4	0
LOC105374000	0
OR5K3	0
UBFD1P1	0
OR5K1	0
OR5K2	0
CLDND1	7760
RPL38P4	10
SH3D21	31
GPR15	95
CPOX	5053
RPL19P7	0
WWP1P1	0
ST3GAL6-AS1	7
ST3GAL6	103
PDLIM1P4	3
DCBLD2	8521
RNU6-26P	0
LOC105374002	17
EVA1B	112
RNU6-1263P	0
LOC105374003	181
ACTG1P13	0
LOC107986104	0
LOC105374004	0
LOC105374007	3
LOC105374006	0
LOC105374005	0
COL8A1	0
HP09053	1
STK40	390
CMSS1	1756
FILIP1L	2
LOC100506400	0
LOC105374010	2
LOC105374009	0
TMEM30CP	0
DUSP12P1	0
VTI1BP1	0
TBC1D23	856
LOC107984939	10
NIT2	509
TOMM70	2421
LNP1	19
TMEM45A	141
ADGRG7	0
GMFBP1	0
TFG	1667
ABI3BP	2
LOC100421580	0
RNU6-865P	0
LSM10	777
ACTR3P3	0
IMPG2	4
SENP7	221
ZNF90P1	0
LOC100287852	0
BTF3P16	0
FAM172BP	1
TRMT10C	1114
PCNP	3865
RPS18P5	144
RNU4-27P	0
RPL32P7	0
RNU6-1256P	0
ZBTB11	1193
RNY1P12	0
ZBTB11-AS1	117
RPL24	16144
LOC105374013	28
PDCL3P4	8
CEP97	574
NXPE3	142
TMEM88B	0
OSCP1	57
NFKBIZ	27
LINC02085	0
LOC101929411	0
LOC107986105	0
ZPLD1	3
LOC105374016	0
LOC107986106	0
LOC105374017	0
RNU6-461P	0
LOC105374018	0
LOC107984940	1
RNU1-43P	0
NDUFA4P2	0
LOC644681	0
TUBBP11	0
LOC100128179	0
TRE-CTC12-1	0
LOC105374019	15
LOC105374020	59
LOC391562	31
MRPS15	2465
LOC105374021	0
LOC107986107	0
LOC107986108	0
LOC105374023	0
ALCAM	1432
CBLB	123
LOC107986109	0
LOC105374024	0
LOC105374026	0
LOC105374027	0
CSF3R	0
LOC107986110	0
LOC107986111	0
LOC107986112	0
LOC101929485	0
LOC105374029	2
LOC101929534	0
LOC107986021	1
FCF1P3	0
MTND4P16	0
MTND4LP3	0
FTLP18	0
MTND3P6	0
MTND5P16	0
MTND6P6	0
MTND1P16	0
NMTRQ-TTG4-1	0
MTND2P14	0
RNU6-1308P	0
LOC344593	0
LINC00882	7
DUBR	29
LOC107984941	0
LOC649024	0
CCDC54	0
LOC101929579	0
LINC01990	1
BBX	2617
LINC00635	0
LINC00636	0
CD47	948
LOC105374031	0
LINC01215	0
LOC105378648	0
IFT57	721
HHLA2	0
HNRNPA1P17	0
MYH15	151
RPL13P8	8
KIAA1524	1110
DZIP3	683
LOC105374033	0
LOC105374034	0
RETNLB	0
GRIK3	0
TRAT1	0
GUCA1C	0
MORC1	0
MORC1-AS1	0
FLJ22763	0
LINC00488	0
RNU6-1236P	0
LOC100419877	0
DPPA2	0
DPPA4	0
LOC100129989	0
H3F3AP3	0
LINC01205	0
PPIAP15	0
DIMT1P1	0
LOC440973	0
LOC105377811	0
LOC105374036	0
RNU6ATAC15P	0
RNU6-636P	0
LOC105374037	0
RPSAP29	0
LOC151760	49
PVRL3-AS1	1
NECTIN3	3599
LOC105374038	0
LOC105374039	0
ATP6V0CP2	0
CD96	8
ZBED2	56
LINC01770	3
RNA5SP43	0
LOC100420394	0
PLCXD2	83
PLCXD2-AS1	3
PHLDB2	4479
LOC107984087	0
LOC105374040	3
ABHD10	3741
TAGLN3	4
RFKP2	4
TMPRSS7	3
RPS29P6	0
C3orf52	520
GCSAM	26
SLC9C1	4
LOC100420831	2
LOC100532749	0
CD200	7
LOC105374041	0
BTLA	10
OR7E100P	0
LOC107984942	2
ATG3	1103
SLC35A5	335
LINC01279	3
CCDC80	28
LOC100653395	4
LINC02042	0
LOC100129297	0
CD200R1L	0
CD200R1	10
GTPBP8	343
LINC01137	24
NEPRO	1196
LOC107986113	13
LOC107986114	4
LINC02044	0
LOC102723430	0
BOC	71
CFAP44	137
LOC101180897	0
PHF5DP	9
CFAP44-AS1	0
ZC3H12A	60
SPICE1	197
SIDT1	1
RN7SL767P	0
USF3	177
NAA50	3811
ATP6V1A	1110
GRAMD1C	162
RPS10P4	0
LOC100420528	10
VPS26AP1	0
ZDHHC23	222
CCDC191	89
LOC100127892	1
LOC105374048	0
QTRT2	1044
LOC391566	0
DRD3	0
ZNF80	1
MEAF6	1380
LOC107986115	0
LOC645180	0
TIGIT	2
ZBTB20	2650
ZBTB20-AS1	0
ZBTB20-AS5	0
ZBTB20-AS3	0
YBX1P3	0
ZBTB20-AS4	0
LOC101926886	1
EIF4E2P2	0
LOC105374051	1
GAP43	0
LSAMP	1
RN7SL815P	0
LOC105374053	0
LOC107986116	0
LOC105374052	0
LOC105378649	0
LSAMP-AS1	0
RN7SL582P	0
BZW1P2	244
TUSC7	0
LINC00901	0
RNU5E-8P	0
PTMAP8	0
LOC105374054	0
LOC105374056	0
SNIP1	439
RNU6-1200P	0
LOC100421670	0
LOC105374057	0
LOC101926953	0
LOC107986022	0
LOC105374058	0
LOC105374060	15
LOC101926968	0
LOC107983969	14
LOC105374059	3
LOC107985729	1
FTH1P1	5
IGSF11	3
IGSF11-AS1	0
C3orf30	0
UPK1B	0
B4GALT4	255
B4GALT4-AS1	0
ARHGAP31	81
RPS26P21	0
ARHGAP31-AS1	1
RNU6-1127P	0
RPS27P9	6
LOC107986117	6
TMEM39A	689
POGLUT1	230
TIMMDC1	1151
CD80	3
CSRP2P1	0
LOC107986118	1
ADPRH	49
PLA1A	0
LOC105374062	0
DNALI1	0
RPL10P7	0
POPDC2	10
COX17	525
LOC105374063	0
LOC105374064	0
MAATS1	3
NR1I2	0
PHBP8	0
GSK3B	1305
LOC100129707	1
GNL2	3861
LOC107986119	7
RN7SL762P	0
RN7SL397P	0
LOC105374065	0
GPR156	4
LOC442087	0
LRRC58	2440
LOC100130701	0
FSTL1	253
RSPO1	2
LOC107986120	0
LOC107986121	2
RPL34P9	0
NDUFB4	2523
HGD	4
RABL3	766
MTCO1P29	0
MTCO2P29	0
GTF2E1	526
NAP1L1P3	0
C1orf109	770
LINC02049	0
LOC105374069	40
STXBP5L	6
LOC100419755	0
LOC100422044	0
POLQ	399
RPL7AP11	1
ARGFX	2
FBXO40	0
CDCA8	889
HCLS1	6
RN7SL172P	0
RNU4-62P	0
GOLGB1	1951
IQCB1	922
EAF2	101
SLC15A2	14
ILDR1	49
LOC101927010	6
CD86	0
EPHA10	91
CASR	0
HNRNPA1P23	0
CSTA	96
CCDC58	1756
FAM162A	971
WDR5B	125
LOC102723582	0
LOC107986122	2
KPNA1	1217
LOC107984000	5
LOC105378650	0
LOC105374071	0
PARP9	101
DTX3L	265
PARP15	25
LOC100421636	0
EIF4BP8	0
PARP14	541
HSPBAP1	229
DIRC2	132
LINC02035	132
ACTN4P2	0
SEMA5B	2
PDIA5	318
SEC22A	238
ADCY5	11
HACD2	1942
MYLK-AS1	7
MYLK	22
MYLK-AS2	1
LOC105369194	2
VWA1	386
LOC100129497	0
CCDC14	803
ROPN1	0
KALRN	132
RPL7P15	0
LOC105374077	0
LOC107986123	0
RNU6-143P	0
LOC105374076	0
MANEAL	268
LOC100420144	0
UMPS	1335
RPS26P22	0
ITGB5	1067
ENO1P3	1
MUC13	0
HEG1	131
RNA5SP137	0
SLC12A8	126
YRDC	1062
RNU6-230P	0
LOC105374079	0
ZNF148	1075
DUTP1	0
LOC100421437	0
LOC105374080	4
LOC105374081	0
SNX4	564
OSBPL11	516
C1orf122	618
LOC100419966	0
LOC100419969	0
OR7E130P	0
OR7E29P	0
OR7E93P	0
OR7E53P	0
OR7E97P	0
LOC105374312	5
RPS24P9	0
MTF1	783
RPS3AP14	0
SNRPCP11	0
LOC101927056	0
ENPP7P4	2
LOC102723696	0
FAM86JP	121
ALG1L	8
LOC100533621	0
ROPN1B	7
SLC41A3	412
RPS2P13	0
LOC107983957	4
LOC105374085	1
ALDH1L1	6
ALDH1L1-AS1	0
LOC105374083	0
RNU1-30P	0
ALDH1L1-AS2	0
LOC105374086	0
LOC107986124	7
KLF15	40
INPP5B	258
LOC105374088	0
LOC107986044	0
CCDC37-AS1	0
CFAP100	0
LOC105374089	0
ZXDC	589
UROC1	0
CHST13	6
C3orf22	0
LOC105374090	0
RNU6-584P	0
RNA5SP138	0
TXNRD3NB	0
TXNRD3	99
LOC100419878	0
NUP210P1	0
LOC645852	0
CHCHD6	481
RCC2P4	0
PLXNA1	798
C3orf56	0
LOC105378651	0
LOC101060159	1
RNU6-1047P	0
LOC100419008	2
LINC02016	0
LOC105374094	0
LINC01471	0
LOC107986125	0
TPRA1	593
SF3A3	4421
MCM2	2702
LOC107986126	583
PODXL2	587
ABTB1	75
MGLL	550
LOC107986127	7
LOC107986128	0
LOC107986129	1
LOC105374096	0
KBTBD12	2
ATAD3C	16
RNU6-510P	0
RNA5SP139	0
LOC102723759	0
SEC61A1	2459
RUVBL1	2459
RNU2-37P	0
RUVBL1-AS1	1
RNU6-823P	0
EEFSEC	352
DNAJB8	0
DNAJB8-AS1	0
FHL3	258
GATA2	228
GATA2-AS1	44
LOC90246	17
TMED10P2	1
LINC01565	0
RPN1	6277
POU5F1P6	0
RAB7A	3424
MARK2P8	0
FTH1P4	2
UTP11	2254
RN7SL698P	0
RPS15AP16	0
MARK2P17	0
MARK3P3	0
MARK2P6	0
LOC653712	9
ACAD9	339
KIAA1257	126
EFCC1	25
LOC100130760	0
POU3F1	5
GP9	0
ISY1-RAB43	44
RAB43	13
ISY1	1025
CNBP	9227
LOC105374101	1
RPS27P12	0
LOC105374102	0
COPG1	2177
LOC107985103	12
HMCES	881
H1FX	2714
H1FX-AS1	4
NUP210P3	0
MARK2P3	0
LOC100421508	0
RPL32P3	39
SNORA7B	1
EFCAB12	10
MBD4	298
LOC105378653	1
IFT122	159
RHO	0
H1FOO	0
PLXND1	389
RN7SL752P	0
TMCC1	361
RNY3P13	0
TMCC1-AS1	12
TRH	0
LOC107986130	14
RPS17P9	0
OR7E129P	0
OR7E21P	0
ALG1L2	1
LOC105374105	19
FAM86HP	27
LOC105374104	2
LOC105374103	6
