Gene Symbol	OVCAR_KO
OR5AC4P	0
POU5F1P7	0
OR5H1	0
LOC105373996	0
OR5H14	0
UBE2V2P4	0
OR5H15	0
LOC105373998	0
LOC105373997	0
OR5H5P	0
OR5H3P	0
OR5H4P	0
LOC101929320	0
OR5H7P	0
LOC105373999	1
OR5H6	0
LOC107984938	20
OR5H2	0
OR5H8	0
OR5K4	0
LOC105374000	0
OR5K3	0
UBFD1P1	0
OR5K1	1
OR5K2	2
CLDND1	9578
RPL38P4	6
SH3D21	187
GPR15	155
CPOX	7348
RPL19P7	0
WWP1P1	0
ST3GAL6-AS1	6
ST3GAL6	343
PDLIM1P4	12
DCBLD2	13525
RNU6-26P	0
LOC105374002	7
EVA1B	334
RNU6-1263P	0
LOC105374003	223
ACTG1P13	0
LOC107986104	0
LOC105374004	0
LOC105374007	0
LOC105374006	0
LOC105374005	0
COL8A1	0
HP09053	3
STK40	308
CMSS1	1219
FILIP1L	13
LOC100506400	0
LOC105374010	38
LOC105374009	10
TMEM30CP	0
DUSP12P1	0
VTI1BP1	1
TBC1D23	456
LOC107984939	22
NIT2	611
TOMM70	2226
LNP1	51
TMEM45A	90
ADGRG7	0
GMFBP1	0
TFG	1326
ABI3BP	11
LOC100421580	0
RNU6-865P	0
LSM10	420
ACTR3P3	0
IMPG2	31
SENP7	494
ZNF90P1	0
LOC100287852	6
BTF3P16	4
FAM172BP	0
TRMT10C	1475
PCNP	3359
RPS18P5	171
RNU4-27P	0
RPL32P7	0
RNU6-1256P	0
ZBTB11	858
RNY1P12	0
ZBTB11-AS1	64
RPL24	17788
LOC105374013	116
PDCL3P4	14
CEP97	873
NXPE3	342
TMEM88B	0
OSCP1	36
NFKBIZ	107
LINC02085	0
LOC101929411	0
LOC107986105	0
ZPLD1	0
LOC105374016	0
LOC107986106	0
LOC105374017	0
RNU6-461P	0
LOC105374018	0
LOC107984940	4
RNU1-43P	0
NDUFA4P2	0
LOC644681	0
TUBBP11	0
LOC100128179	0
TRE-CTC12-1	0
LOC105374019	92
LOC105374020	351
LOC391562	10
MRPS15	1108
LOC105374021	0
LOC107986107	0
LOC107986108	0
LOC105374023	0
ALCAM	1362
CBLB	138
LOC107986109	0
LOC105374024	0
LOC105374026	0
LOC105374027	0
CSF3R	0
LOC107986110	0
LOC107986111	0
LOC107986112	0
LOC101929485	0
LOC105374029	0
LOC101929534	1
LOC107986021	0
FCF1P3	0
MTND4P16	0
MTND4LP3	1
FTLP18	2
MTND3P6	0
MTND5P16	0
MTND6P6	0
MTND1P16	0
NMTRQ-TTG4-1	0
MTND2P14	0
RNU6-1308P	0
LOC344593	1
LINC00882	6
DUBR	29
LOC107984941	0
LOC649024	0
CCDC54	0
LOC101929579	0
LINC01990	1
BBX	2775
LINC00635	0
LINC00636	0
CD47	1994
LOC105374031	0
LINC01215	2
LOC105378648	0
IFT57	794
HHLA2	7
HNRNPA1P17	0
MYH15	226
RPL13P8	19
KIAA1524	914
DZIP3	871
LOC105374033	0
LOC105374034	0
RETNLB	0
GRIK3	3
TRAT1	0
GUCA1C	0
MORC1	0
MORC1-AS1	0
FLJ22763	0
LINC00488	0
RNU6-1236P	0
LOC100419877	0
DPPA2	3
DPPA4	0
LOC100129989	0
H3F3AP3	0
LINC01205	4
PPIAP15	0
DIMT1P1	0
LOC440973	9
LOC105377811	1
LOC105374036	0
RNU6ATAC15P	0
RNU6-636P	0
LOC105374037	1
RPSAP29	0
LOC151760	1
PVRL3-AS1	6
NECTIN3	9546
LOC105374038	2
LOC105374039	1
ATP6V0CP2	0
CD96	12
ZBED2	14
LINC01770	29
RNA5SP43	0
LOC100420394	0
PLCXD2	55
PLCXD2-AS1	5
PHLDB2	4763
LOC107984087	1
LOC105374040	11
ABHD10	7537
TAGLN3	6
RFKP2	13
TMPRSS7	1
RPS29P6	0
C3orf52	297
GCSAM	63
SLC9C1	4
LOC100420831	0
LOC100532749	2
CD200	5
LOC105374041	0
BTLA	15
OR7E100P	0
LOC107984942	6
ATG3	760
SLC35A5	547
LINC01279	5
CCDC80	5
LOC100653395	26
LINC02042	1
LOC100129297	0
CD200R1L	0
CD200R1	2
GTPBP8	231
LINC01137	16
NEPRO	1039
LOC107986113	45
LOC107986114	5
LINC02044	0
LOC102723430	1
BOC	45
CFAP44	314
LOC101180897	2
PHF5DP	7
CFAP44-AS1	0
ZC3H12A	64
SPICE1	416
SIDT1	3
RN7SL767P	0
USF3	575
NAA50	4401
ATP6V1A	982
GRAMD1C	310
RPS10P4	0
LOC100420528	5
VPS26AP1	4
ZDHHC23	393
CCDC191	175
LOC100127892	2
LOC105374048	0
QTRT2	570
LOC391566	0
DRD3	1
ZNF80	7
MEAF6	990
LOC107986115	1
LOC645180	1
TIGIT	3
ZBTB20	1815
ZBTB20-AS1	1
ZBTB20-AS5	1
ZBTB20-AS3	0
YBX1P3	2
ZBTB20-AS4	1
LOC101926886	0
EIF4E2P2	0
LOC105374051	0
GAP43	0
LSAMP	12
RN7SL815P	0
LOC105374053	0
LOC107986116	0
LOC105374052	1
LOC105378649	1
LSAMP-AS1	0
RN7SL582P	0
BZW1P2	120
TUSC7	0
LINC00901	0
RNU5E-8P	0
PTMAP8	0
LOC105374054	0
LOC105374056	0
SNIP1	356
RNU6-1200P	0
LOC100421670	2
LOC105374057	7
LOC101926953	2
LOC107986022	2
LOC105374058	1
LOC105374060	32
LOC101926968	1
LOC107983969	6
LOC105374059	3
LOC107985729	9
FTH1P1	13
IGSF11	3
IGSF11-AS1	0
C3orf30	0
UPK1B	7
B4GALT4	291
B4GALT4-AS1	1
ARHGAP31	51
RPS26P21	0
ARHGAP31-AS1	0
RNU6-1127P	0
RPS27P9	1
LOC107986117	0
TMEM39A	681
POGLUT1	330
TIMMDC1	913
CD80	12
CSRP2P1	0
LOC107986118	0
ADPRH	7
PLA1A	7
LOC105374062	2
DNALI1	20
RPL10P7	1
POPDC2	2
COX17	1064
LOC105374063	0
LOC105374064	0
MAATS1	7
NR1I2	1
PHBP8	0
GSK3B	903
LOC100129707	4
GNL2	1930
LOC107986119	18
RN7SL762P	0
RN7SL397P	0
LOC105374065	0
GPR156	3
LOC442087	1
LRRC58	2252
LOC100130701	0
FSTL1	529
RSPO1	9
LOC107986120	0
LOC107986121	5
RPL34P9	0
NDUFB4	2575
HGD	11
RABL3	535
MTCO1P29	0
MTCO2P29	0
GTF2E1	283
NAP1L1P3	0
C1orf109	339
LINC02049	0
LOC105374069	237
STXBP5L	32
LOC100419755	0
LOC100422044	0
POLQ	761
RPL7AP11	9
ARGFX	2
FBXO40	0
CDCA8	497
HCLS1	2
RN7SL172P	1
RNU4-62P	0
GOLGB1	3080
IQCB1	642
EAF2	124
SLC15A2	90
ILDR1	25
LOC101927010	9
CD86	0
EPHA10	153
CASR	0
HNRNPA1P23	0
CSTA	402
CCDC58	661
FAM162A	1364
WDR5B	224
LOC102723582	6
LOC107986122	2
KPNA1	1233
LOC107984000	3
LOC105378650	0
LOC105374071	3
PARP9	489
DTX3L	378
PARP15	138
LOC100421636	0
EIF4BP8	0
PARP14	579
HSPBAP1	174
DIRC2	130
LINC02035	224
ACTN4P2	0
SEMA5B	6
PDIA5	416
SEC22A	280
ADCY5	15
HACD2	1167
MYLK-AS1	7
MYLK	78
MYLK-AS2	0
LOC105369194	22
VWA1	246
LOC100129497	0
CCDC14	2501
ROPN1	2
KALRN	143
RPL7P15	2
LOC105374077	0
LOC107986123	0
RNU6-143P	0
LOC105374076	0
MANEAL	87
LOC100420144	0
UMPS	852
RPS26P22	0
ITGB5	255
ENO1P3	2
MUC13	0
HEG1	20
RNA5SP137	0
SLC12A8	116
YRDC	293
RNU6-230P	0
LOC105374079	7
ZNF148	1212
DUTP1	0
LOC100421437	3
LOC105374080	3
LOC105374081	0
SNX4	687
OSBPL11	338
C1orf122	320
LOC100419966	0
LOC100419969	0
OR7E130P	0
OR7E29P	0
OR7E93P	0
OR7E53P	0
OR7E97P	0
LOC105374312	18
RPS24P9	0
MTF1	500
RPS3AP14	0
SNRPCP11	0
LOC101927056	0
ENPP7P4	34
LOC102723696	19
FAM86JP	46
ALG1L	29
LOC100533621	1
ROPN1B	9
SLC41A3	284
RPS2P13	0
LOC107983957	7
LOC105374085	0
ALDH1L1	1
ALDH1L1-AS1	0
LOC105374083	0
RNU1-30P	0
ALDH1L1-AS2	0
LOC105374086	1
LOC107986124	4
KLF15	40
INPP5B	310
LOC105374088	0
LOC107986044	0
CCDC37-AS1	0
CFAP100	7
LOC105374089	24
ZXDC	526
UROC1	1
CHST13	7
C3orf22	6
LOC105374090	0
RNU6-584P	0
RNA5SP138	0
TXNRD3NB	1
TXNRD3	317
LOC100419878	5
NUP210P1	0
LOC645852	0
CHCHD6	691
RCC2P4	7
PLXNA1	917
C3orf56	0
LOC105378651	3
LOC101060159	0
RNU6-1047P	0
LOC100419008	0
LINC02016	0
LOC105374094	0
LINC01471	0
LOC107986125	2
TPRA1	219
SF3A3	2252
MCM2	333
LOC107986126	100
PODXL2	177
ABTB1	151
MGLL	53
LOC107986127	13
LOC107986128	2
LOC107986129	2
LOC105374096	0
KBTBD12	20
ATAD3C	76
RNU6-510P	0
RNA5SP139	0
LOC102723759	9
SEC61A1	1700
RUVBL1	973
RNU2-37P	0
RUVBL1-AS1	5
RNU6-823P	0
EEFSEC	172
DNAJB8	3
DNAJB8-AS1	0
FHL3	163
GATA2	88
GATA2-AS1	76
LOC90246	29
TMED10P2	4
LINC01565	4
RPN1	3319
POU5F1P6	3
RAB7A	2091
MARK2P8	0
FTH1P4	18
UTP11	1533
RN7SL698P	0
RPS15AP16	7
MARK2P17	0
MARK3P3	0
MARK2P6	0
LOC653712	4
ACAD9	343
KIAA1257	257
EFCC1	12
LOC100130760	0
POU3F1	97
GP9	0
ISY1-RAB43	48
RAB43	22
ISY1	680
CNBP	8400
LOC105374101	4
RPS27P12	0
LOC105374102	0
COPG1	989
LOC107985103	82
HMCES	553
H1FX	688
H1FX-AS1	9
NUP210P3	0
MARK2P3	0
LOC100421508	0
RPL32P3	101
SNORA7B	5
EFCAB12	28
MBD4	368
LOC105378653	12
IFT122	133
RHO	2
H1FOO	5
PLXND1	444
RN7SL752P	0
TMCC1	445
RNY3P13	0
TMCC1-AS1	25
TRH	3
LOC107986130	19
RPS17P9	0
OR7E129P	0
OR7E21P	0
ALG1L2	3
LOC105374105	63
FAM86HP	31
LOC105374104	31
LOC105374103	39
LOC107986131	34
